[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries
[76, 78]; [-0.45, -0.4]: 451 / 3717
[76, 78]; [-0.4, -0.35]: 432 / 3610
[76, 78]; [-0.35, -0.3]: 473 / 3650
[76, 78]; [-0.3, -0.25]: 426 / 3521
[76, 78]; [-0.25, -0.2]: 459 / 3571
[76, 78]; [-0.2, -0.15]: 407 / 3429
[76, 78]; [-0.15, -0.1]: 428 / 3549
[76, 78]; [-0.1, -0.05]: 397 / 3591
[76, 78]; [-0.05, 0]: 448 / 3539
[76, 78]; [0, 0.05]: 444 / 3644
[76, 78]; [0.05, 0.1]: 431 / 3493
[76, 78]; [0.1, 0.15]: 422 / 3466
[76, 78]; [0.15, 0.2]: 426 / 3494
[76, 78]; [0.2, 0.25]: 435 / 3535
[76, 78]; [0.25, 0.3]: 415 / 3627
[76, 78]; [0.3, 0.35]: 414 / 3513
[76, 78]; [0.35, 0.4]: 453 / 3598
[76, 78]; [0.4, 0.45]: 408 / 3711
[76, 78]; [0.45, 0.5]: 436 / 3853
[76, 78]; [0.5, 0.55]: 429 / 4004
[76, 78]; [0.55, 0.6]: 507 / 4136
[76, 78]; [0.6, 0.65]: 440 / 4235
[76, 78]; [0.65, 0.7]: 515 / 4354
[76, 78]; [0.7, 0.75]: 494 / 4371
[76, 78]; [0.75, 0.8]: 485 / 4691
[76, 78]; [0.8, 0.85]: 470 / 4499
[76, 78]; [0.85, 0.9]: 73 / 686
[76, 78]; [0.9, 0.95]: 0 / 0
[76, 78]; [0.95, 1]: 0 / 0

[78, 80]; [-1, -0.95]: 0 / 0
[78, 80]; [-0.95, -0.9]: 0 / 0
[78, 80]; [-0.9, -0.85]: 95 / 869
[78, 80]; [-0.85, -0.8]: 418 / 3988
[78, 80]; [-0.8, -0.75]: 426 / 3992
[78, 80]; [-0.75, -0.7]: 424 / 3924
[78, 80]; [-0.7, -0.65]: 415 / 3675
[78, 80]; [-0.65, -0.6]: 407 / 3680
[78, 80]; [-0.6, -0.55]: 370 / 3478
[78, 80]; [-0.55, -0.5]: 416 / 3482
[78, 80]; [-0.5, -0.45]: 379 / 3320
[78, 80]; [-0.45, -0.4]: 386 / 3269
[78, 80]; [-0.4, -0.35]: 369 / 2991
[78, 80]; [-0.35, -0.3]: 378 / 3163
[78, 80]; [-0.3, -0.25]: 370 / 3088
[78, 80]; [-0.25, -0.2]: 364 / 3110
[78, 80]; [-0.2, -0.15]: 334 / 3171
[78, 80]; [-0.15, -0.1]: 376 / 3199
[78, 80]; [-0.1, -0.05]: 375 / 3132
[78, 80]; [-0.05, 0]: 402 / 3116
[78, 80]; [0, 0.05]: 380 / 3089
[78, 80]; [0.05, 0.1]: 394 / 3164
[78, 80]; [0.1, 0.15]: 388 / 3016
[78, 80]; [0.15, 0.2]: 355 / 3116
[78, 80]; [0.2, 0.25]: 340 / 3127
[78, 80]; [0.25, 0.3]: 380 / 3122
[78, 80]; [0.3, 0.35]: 356 / 3123
[78, 80]; [0.35, 0.4]: 394 / 3139
[78, 80]; [0.4, 0.45]: 342 / 3211
[78, 80]; [0.45, 0.5]: 384 / 3340
[78, 80]; [0.5, 0.55]: 389 / 3401
[78, 80]; [0.55, 0.6]: 393 / 3612
[78, 80]; [0.6, 0.65]: 410 / 3635
[78, 80]; [0.65, 0.7]: 349 / 3717
[78, 80]; [0.7, 0.75]: 424 / 3846
[78, 80]; [0.75, 0.8]: 438 / 4098
[78, 80]; [0.8, 0.85]: 386 / 4084
[78, 80]; [0.85, 0.9]: 88 / 877
[78, 80]; [0.9, 0.95]: 0 / 0
[78, 80]; [0.95, 1]: 0 / 0

[80, 82]; [-1, -0.95]: 0 / 0
[80, 82]; [-0.95, -0.9]: 0 / 0
[80, 82]; [-0.9, -0.85]: 107 / 950
[80, 82]; [-0.85, -0.8]: 355 / 3565
[80, 82]; [-0.8, -0.75]: 364 / 3510
[80, 82]; [-0.75, -0.7]: 356 / 3411
[80, 82]; [-0.7, -0.65]: 321 / 3205
[80, 82]; [-0.65, -0.6]: 352 / 3207
[80, 82]; [-0.6, -0.55]: 381 / 3110
[80, 82]; [-0.55, -0.5]: 360 / 3002
[80, 82]; [-0.5, -0.45]: 339 / 2924
[80, 82]; [-0.45, -0.4]: 333 / 2840
[80, 82]; [-0.4, -0.35]: 319 / 2810
[80, 82]; [-0.35, -0.3]: 337 / 2839
[80, 82]; [-0.3, -0.25]: 371 / 2749
[80, 82]; [-0.25, -0.2]: 298 / 2768
[80, 82]; [-0.2, -0.15]: 322 / 2721
[80, 82]; [-0.15, -0.1]: 302 / 2693
[80, 82]; [-0.1, -0.05]: 335 / 2630
[80, 82]; [-0.05, 0]: 343 / 2798
[80, 82]; [0, 0.05]: 316 / 2730
[80, 82]; [0.05, 0.1]: 309 / 2729
[80, 82]; [0.1, 0.15]: 285 / 2752
[80, 82]; [0.15, 0.2]: 311 / 2727
[80, 82]; [0.2, 0.25]: 318 / 2760
[80, 82]; [0.25, 0.3]: 321 / 2681
[80, 82]; [0.3, 0.35]: 324 / 2806
[80, 82]; [0.35, 0.4]: 294 / 2747
[80, 82]; [0.4, 0.45]: 343 / 2831
[80, 82]; [0.45, 0.5]: 343 / 2798
[80, 82]; [0.5, 0.55]: 340 / 3075
[80, 82]; [0.55, 0.6]: 370 / 3117
[80, 82]; [0.6, 0.65]: 363 / 3320
[80, 82]; [0.65, 0.7]: 320 / 3351
[80, 82]; [0.7, 0.75]: 375 / 3326
[80, 82]; [0.75, 0.8]: 378 / 3536
[80, 82]; [0.8, 0.85]: 374 / 3632
[80, 82]; [0.85, 0.9]: 85 / 969
[80, 82]; [0.9, 0.95]: 0 / 0
[80, 82]; [0.95, 1]: 0 / 0

[82, 84]; [-1, -0.95]: 0 / 0
[82, 84]; [-0.95, -0.9]: 0 / 0
[82, 84]; [-0.9, -0.85]: 112 / 1042
[82, 84]; [-0.85, -0.8]: 333 / 3205
[82, 84]; [-0.8, -0.75]: 289 / 3044
[82, 84]; [-0.75, -0.7]: 324 / 2931
[82, 84]; [-0.7, -0.65]: 337 / 2915
[82, 84]; [-0.65, -0.6]: 326 / 2833
[82, 84]; [-0.6, -0.55]: 346 / 2826
[82, 84]; [-0.55, -0.5]: 300 / 2503
[82, 84]; [-0.5, -0.45]: 289 / 2545
[82, 84]; [-0.45, -0.4]: 302 / 2445
[82, 84]; [-0.4, -0.35]: 272 / 2394
[82, 84]; [-0.35, -0.3]: 247 / 2426
[82, 84]; [-0.3, -0.25]: 295 / 2337
[82, 84]; [-0.25, -0.2]: 251 / 2332
[82, 84]; [-0.2, -0.15]: 289 / 2403
[82, 84]; [-0.15, -0.1]: 265 / 2401
[82, 84]; [-0.1, -0.05]: 285 / 2427
[82, 84]; [-0.05, 0]: 267 / 2448
[82, 84]; [0, 0.05]: 293 / 2416
[82, 84]; [0.05, 0.1]: 269 / 2355
[82, 84]; [0.1, 0.15]: 276 / 2436
[82, 84]; [0.15, 0.2]: 285 / 2379
[82, 84]; [0.2, 0.25]: 265 / 2405
[82, 84]; [0.25, 0.3]: 276 / 2354
[82, 84]; [0.3, 0.35]: 286 / 2454
[82, 84]; [0.35, 0.4]: 264 / 2499
[82, 84]; [0.4, 0.45]: 285 / 2432
[82, 84]; [0.45, 0.5]: 296 / 2422
[82, 84]; [0.5, 0.55]: 272 / 2579
[82, 84]; [0.55, 0.6]: 304 / 2744
[82, 84]; [0.6, 0.65]: 287 / 2876
[82, 84]; [0.65, 0.7]: 328 / 2926
[82, 84]; [0.7, 0.75]: 357 / 2906
[82, 84]; [0.75, 0.8]: 331 / 3122
[82, 84]; [0.8, 0.85]: 294 / 3138
[82, 84]; [0.85, 0.9]: 97 / 1089
[82, 84]; [0.9, 0.95]: 0 / 0
