[pTmin, pTmax]; [cosmin, cosmax]: PR entries / NP entries
[5.48918, 5.81208]; [0.8, 0.85]: 0 / 0
[5.48918, 5.81208]; [0.85, 0.9]: 0 / 0

[5.81208, 6.13497]; [-0.9, -0.85]: 0 / 0
[5.81208, 6.13497]; [-0.85, -0.8]: 0 / 0
[5.81208, 6.13497]; [-0.8, -0.75]: 0 / 0
[5.81208, 6.13497]; [-0.75, -0.7]: 0 / 0
[5.81208, 6.13497]; [-0.7, -0.65]: 0 / 0
[5.81208, 6.13497]; [-0.65, -0.6]: 0 / 0
[5.81208, 6.13497]; [-0.6, -0.55]: 0 / 0
[5.81208, 6.13497]; [-0.55, -0.5]: 162 / 139
[5.81208, 6.13497]; [-0.5, -0.45]: 4579 / 3850
[5.81208, 6.13497]; [-0.45, -0.4]: 15153 / 12692
[5.81208, 6.13497]; [-0.4, -0.35]: 28943 / 24639
[5.81208, 6.13497]; [-0.35, -0.3]: 37315 / 31693
[5.81208, 6.13497]; [-0.3, -0.25]: 41582 / 35617
[5.81208, 6.13497]; [-0.25, -0.2]: 42888 / 36531
[5.81208, 6.13497]; [-0.2, -0.15]: 42686 / 36630
[5.81208, 6.13497]; [-0.15, -0.1]: 43265 / 37180
[5.81208, 6.13497]; [-0.1, -0.05]: 42914 / 37146
[5.81208, 6.13497]; [-0.05, 0]: 42779 / 37128
[5.81208, 6.13497]; [0, 0.05]: 42526 / 37142
[5.81208, 6.13497]; [0.05, 0.1]: 42857 / 37232
[5.81208, 6.13497]; [0.1, 0.15]: 43197 / 36899
[5.81208, 6.13497]; [0.15, 0.2]: 43171 / 36721
[5.81208, 6.13497]; [0.2, 0.25]: 42568 / 36799
[5.81208, 6.13497]; [0.25, 0.3]: 41403 / 35281
[5.81208, 6.13497]; [0.3, 0.35]: 37173 / 31256
[5.81208, 6.13497]; [0.35, 0.4]: 28354 / 24330
[5.81208, 6.13497]; [0.4, 0.45]: 15037 / 12600
[5.81208, 6.13497]; [0.45, 0.5]: 4515 / 3872
[5.81208, 6.13497]; [0.5, 0.55]: 158 / 133
[5.81208, 6.13497]; [0.55, 0.6]: 0 / 0
[5.81208, 6.13497]; [0.6, 0.65]: 0 / 0
[5.81208, 6.13497]; [0.65, 0.7]: 0 / 0
[5.81208, 6.13497]; [0.7, 0.75]: 0 / 0
[5.81208, 6.13497]; [0.75, 0.8]: 0 / 0
[5.81208, 6.13497]; [0.8, 0.85]: 0 / 0
[5.81208, 6.13497]; [0.85, 0.9]: 0 / 0

[6.13497, 6.45786]; [-0.9, -0.85]: 0 / 0
[6.13497, 6.45786]; [-0.85, -0.8]: 0 / 0
[6.13497, 6.45786]; [-0.8, -0.75]: 0 / 0
[6.13497, 6.45786]; [-0.75, -0.7]: 0 / 0
[6.13497, 6.45786]; [-0.7, -0.65]: 0 / 0
[6.13497, 6.45786]; [-0.65, -0.6]: 0 / 0
[6.13497, 6.45786]; [-0.6, -0.55]: 0 / 0
[6.13497, 6.45786]; [-0.55, -0.5]: 975 / 884
[6.13497, 6.45786]; [-0.5, -0.45]: 7263 / 6310
[6.13497, 6.45786]; [-0.45, -0.4]: 18077 / 16026
[6.13497, 6.45786]; [-0.4, -0.35]: 26080 / 23160
[6.13497, 6.45786]; [-0.35, -0.3]: 30240 / 27108
[6.13497, 6.45786]; [-0.3, -0.25]: 31904 / 28995
[6.13497, 6.45786]; [-0.25, -0.2]: 31889 / 28979
[6.13497, 6.45786]; [-0.2, -0.15]: 31900 / 29352
[6.13497, 6.45786]; [-0.15, -0.1]: 32093 / 29404
[6.13497, 6.45786]; [-0.1, -0.05]: 31844 / 29363
[6.13497, 6.45786]; [-0.05, 0]: 32258 / 29333
[6.13497, 6.45786]; [0, 0.05]: 32102 / 29488
[6.13497, 6.45786]; [0.05, 0.1]: 31697 / 29103
[6.13497, 6.45786]; [0.1, 0.15]: 32259 / 29108
[6.13497, 6.45786]; [0.15, 0.2]: 32269 / 29150
[6.13497, 6.45786]; [0.2, 0.25]: 31998 / 29081
[6.13497, 6.45786]; [0.25, 0.3]: 31796 / 28924
[6.13497, 6.45786]; [0.3, 0.35]: 30792 / 27494
[6.13497, 6.45786]; [0.35, 0.4]: 26017 / 23493
[6.13497, 6.45786]; [0.4, 0.45]: 17696 / 15993
[6.13497, 6.45786]; [0.45, 0.5]: 7072 / 6415
[6.13497, 6.45786]; [0.5, 0.55]: 1054 / 931
[6.13497, 6.45786]; [0.55, 0.6]: 0 / 0
[6.13497, 6.45786]; [0.6, 0.65]: 0 / 0
[6.13497, 6.45786]; [0.65, 0.7]: 0 / 0
[6.13497, 6.45786]; [0.7, 0.75]: 0 / 0
[6.13497, 6.45786]; [0.75, 0.8]: 0 / 0
[6.13497, 6.45786]; [0.8, 0.85]: 0 / 0
