[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries
[56, 58]; [0.15, 0.2]: 1178 / 5962
[56, 58]; [0.2, 0.25]: 1196 / 5882
[56, 58]; [0.25, 0.3]: 1163 / 5884
[56, 58]; [0.3, 0.35]: 1224 / 6062
[56, 58]; [0.35, 0.4]: 1229 / 6224
[56, 58]; [0.4, 0.45]: 1298 / 6247
[56, 58]; [0.45, 0.5]: 1340 / 6430
[56, 58]; [0.5, 0.55]: 1291 / 6453
[56, 58]; [0.55, 0.6]: 1359 / 6627
[56, 58]; [0.6, 0.65]: 1421 / 6611
[56, 58]; [0.65, 0.7]: 1450 / 6710
[56, 58]; [0.7, 0.75]: 1455 / 6965
[56, 58]; [0.75, 0.8]: 1434 / 6507
[56, 58]; [0.8, 0.85]: 245 / 1113
[56, 58]; [0.85, 0.9]: 0 / 0
[56, 58]; [0.9, 0.95]: 0 / 0
[56, 58]; [0.95, 1]: 0 / 0

[58, 60]; [-1, -0.95]: 0 / 0
[58, 60]; [-0.95, -0.9]: 0 / 0
[58, 60]; [-0.9, -0.85]: 0 / 0
[58, 60]; [-0.85, -0.8]: 318 / 1461
[58, 60]; [-0.8, -0.75]: 1215 / 5809
[58, 60]; [-0.75, -0.7]: 1124 / 5639
[58, 60]; [-0.7, -0.65]: 1265 / 5608
[58, 60]; [-0.65, -0.6]: 1164 / 5516
[58, 60]; [-0.6, -0.55]: 1149 / 5325
[58, 60]; [-0.55, -0.5]: 1099 / 5395
[58, 60]; [-0.5, -0.45]: 1129 / 5284
[58, 60]; [-0.45, -0.4]: 1057 / 5228
[58, 60]; [-0.4, -0.35]: 1050 / 5095
[58, 60]; [-0.35, -0.3]: 1034 / 4942
[58, 60]; [-0.3, -0.25]: 1079 / 4900
[58, 60]; [-0.25, -0.2]: 968 / 5036
[58, 60]; [-0.2, -0.15]: 997 / 4764
[58, 60]; [-0.15, -0.1]: 898 / 4872
[58, 60]; [-0.1, -0.05]: 997 / 4798
[58, 60]; [-0.05, 0]: 975 / 4855
[58, 60]; [0, 0.05]: 932 / 4898
[58, 60]; [0.05, 0.1]: 890 / 4766
[58, 60]; [0.1, 0.15]: 964 / 5098
[58, 60]; [0.15, 0.2]: 937 / 4897
[58, 60]; [0.2, 0.25]: 1018 / 4904
[58, 60]; [0.25, 0.3]: 963 / 4930
[58, 60]; [0.3, 0.35]: 1048 / 5049
[58, 60]; [0.35, 0.4]: 1035 / 5168
[58, 60]; [0.4, 0.45]: 1073 / 5307
[58, 60]; [0.45, 0.5]: 1078 / 5375
[58, 60]; [0.5, 0.55]: 1143 / 5420
[58, 60]; [0.55, 0.6]: 1145 / 5537
[58, 60]; [0.6, 0.65]: 1106 / 5483
[58, 60]; [0.65, 0.7]: 1174 / 5683
[58, 60]; [0.7, 0.75]: 1181 / 5901
[58, 60]; [0.75, 0.8]: 1250 / 5721
[58, 60]; [0.8, 0.85]: 329 / 1484
[58, 60]; [0.85, 0.9]: 0 / 0
[58, 60]; [0.9, 0.95]: 0 / 0
[58, 60]; [0.95, 1]: 0 / 0

[60, 62]; [-1, -0.95]: 0 / 0
[60, 62]; [-0.95, -0.9]: 0 / 0
[60, 62]; [-0.9, -0.85]: 0 / 0
[60, 62]; [-0.85, -0.8]: 365 / 1746
[60, 62]; [-0.8, -0.75]: 990 / 4813
[60, 62]; [-0.75, -0.7]: 1011 / 4889
[60, 62]; [-0.7, -0.65]: 943 / 4677
[60, 62]; [-0.65, -0.6]: 926 / 4617
[60, 62]; [-0.6, -0.55]: 941 / 4508
[60, 62]; [-0.55, -0.5]: 952 / 4532
[60, 62]; [-0.5, -0.45]: 901 / 4424
[60, 62]; [-0.45, -0.4]: 862 / 4325
[60, 62]; [-0.4, -0.35]: 778 / 4232
[60, 62]; [-0.35, -0.3]: 835 / 4198
[60, 62]; [-0.3, -0.25]: 814 / 4140
[60, 62]; [-0.25, -0.2]: 789 / 3987
[60, 62]; [-0.2, -0.15]: 775 / 4042
[60, 62]; [-0.15, -0.1]: 770 / 4040
[60, 62]; [-0.1, -0.05]: 767 / 4042
[60, 62]; [-0.05, 0]: 793 / 4062
[60, 62]; [0, 0.05]: 759 / 3920
[60, 62]; [0.05, 0.1]: 766 / 4008
[60, 62]; [0.1, 0.15]: 819 / 4047
[60, 62]; [0.15, 0.2]: 793 / 4015
[60, 62]; [0.2, 0.25]: 798 / 4170
[60, 62]; [0.25, 0.3]: 790 / 4210
[60, 62]; [0.3, 0.35]: 779 / 4144
[60, 62]; [0.35, 0.4]: 856 / 4273
[60, 62]; [0.4, 0.45]: 877 / 4354
[60, 62]; [0.45, 0.5]: 899 / 4478
[60, 62]; [0.5, 0.55]: 886 / 4638
[60, 62]; [0.55, 0.6]: 971 / 4537
[60, 62]; [0.6, 0.65]: 946 / 4619
[60, 62]; [0.65, 0.7]: 991 / 4711
[60, 62]; [0.7, 0.75]: 1004 / 4847
[60, 62]; [0.75, 0.8]: 1072 / 4865
[60, 62]; [0.8, 0.85]: 381 / 1799
[60, 62]; [0.85, 0.9]: 0 / 0
[60, 62]; [0.9, 0.95]: 0 / 0
[60, 62]; [0.95, 1]: 0 / 0

[62, 64]; [-1, -0.95]: 0 / 0
[62, 64]; [-0.95, -0.9]: 0 / 0
[62, 64]; [-0.9, -0.85]: 0 / 0
[62, 64]; [-0.85, -0.8]: 390 / 1926
[62, 64]; [-0.8, -0.75]: 861 / 4032
[62, 64]; [-0.75, -0.7]: 859 / 3982
[62, 64]; [-0.7, -0.65]: 868 / 3937
[62, 64]; [-0.65, -0.6]: 764 / 3834
[62, 64]; [-0.6, -0.55]: 744 / 3827
[62, 64]; [-0.55, -0.5]: 729 / 3653
[62, 64]; [-0.5, -0.45]: 768 / 3616
[62, 64]; [-0.45, -0.4]: 736 / 3577
[62, 64]; [-0.4, -0.35]: 710 / 3603
[62, 64]; [-0.35, -0.3]: 728 / 3415
[62, 64]; [-0.3, -0.25]: 630 / 3350
[62, 64]; [-0.25, -0.2]: 648 / 3387
[62, 64]; [-0.2, -0.15]: 683 / 3298
[62, 64]; [-0.15, -0.1]: 634 / 3272
[62, 64]; [-0.1, -0.05]: 637 / 3385
[62, 64]; [-0.05, 0]: 669 / 3295
[62, 64]; [0, 0.05]: 627 / 3397
[62, 64]; [0.05, 0.1]: 758 / 3277
[62, 64]; [0.1, 0.15]: 669 / 3364
[62, 64]; [0.15, 0.2]: 667 / 3332
[62, 64]; [0.2, 0.25]: 657 / 3317
[62, 64]; [0.25, 0.3]: 701 / 3424
[62, 64]; [0.3, 0.35]: 643 / 3448
[62, 64]; [0.35, 0.4]: 723 / 3548
[62, 64]; [0.4, 0.45]: 719 / 3582
[62, 64]; [0.45, 0.5]: 782 / 3667
[62, 64]; [0.5, 0.55]: 784 / 3787
[62, 64]; [0.55, 0.6]: 783 / 3898
[62, 64]; [0.6, 0.65]: 768 / 3842
[62, 64]; [0.65, 0.7]: 816 / 3945
[62, 64]; [0.7, 0.75]: 858 / 4044
[62, 64]; [0.75, 0.8]: 849 / 4175
[62, 64]; [0.8, 0.85]: 408 / 2031
[62, 64]; [0.85, 0.9]: 0 / 0
[62, 64]; [0.9, 0.95]: 0 / 0
[62, 64]; [0.95, 1]: 0 / 0

[64, 66]; [-1, -0.95]: 0 / 0
[64, 66]; [-0.95, -0.9]: 0 / 0
[64, 66]; [-0.9, -0.85]: 0 / 0
