[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries
[5.81208, 6.13497]; [-0.5, -0.45]: 3850 / 312
[5.81208, 6.13497]; [-0.45, -0.4]: 12692 / 1093
[5.81208, 6.13497]; [-0.4, -0.35]: 24639 / 1977
[5.81208, 6.13497]; [-0.35, -0.3]: 31693 / 2631
[5.81208, 6.13497]; [-0.3, -0.25]: 35617 / 3078
[5.81208, 6.13497]; [-0.25, -0.2]: 36531 / 3052
[5.81208, 6.13497]; [-0.2, -0.15]: 36630 / 3114
[5.81208, 6.13497]; [-0.15, -0.1]: 37180 / 3190
[5.81208, 6.13497]; [-0.1, -0.05]: 37146 / 3024
[5.81208, 6.13497]; [-0.05, 0]: 37128 / 3142
[5.81208, 6.13497]; [0, 0.05]: 37142 / 3144
[5.81208, 6.13497]; [0.05, 0.1]: 37232 / 3219
[5.81208, 6.13497]; [0.1, 0.15]: 36899 / 3086
[5.81208, 6.13497]; [0.15, 0.2]: 36721 / 3035
[5.81208, 6.13497]; [0.2, 0.25]: 36799 / 3143
[5.81208, 6.13497]; [0.25, 0.3]: 35281 / 2936
[5.81208, 6.13497]; [0.3, 0.35]: 31256 / 2680
[5.81208, 6.13497]; [0.35, 0.4]: 24330 / 2026
[5.81208, 6.13497]; [0.4, 0.45]: 12600 / 1126
[5.81208, 6.13497]; [0.45, 0.5]: 3872 / 322
[5.81208, 6.13497]; [0.5, 0.55]: 133 / 13
[5.81208, 6.13497]; [0.55, 0.6]: 0 / 0
[5.81208, 6.13497]; [0.6, 0.65]: 0 / 0
[5.81208, 6.13497]; [0.65, 0.7]: 0 / 0
[5.81208, 6.13497]; [0.7, 0.75]: 0 / 0
[5.81208, 6.13497]; [0.75, 0.8]: 0 / 0
[5.81208, 6.13497]; [0.8, 0.85]: 0 / 0
[5.81208, 6.13497]; [0.85, 0.9]: 0 / 0

[6.13497, 6.45786]; [-0.9, -0.85]: 0 / 0
[6.13497, 6.45786]; [-0.85, -0.8]: 0 / 0
[6.13497, 6.45786]; [-0.8, -0.75]: 0 / 0
[6.13497, 6.45786]; [-0.75, -0.7]: 0 / 0
[6.13497, 6.45786]; [-0.7, -0.65]: 0 / 0
[6.13497, 6.45786]; [-0.65, -0.6]: 0 / 0
[6.13497, 6.45786]; [-0.6, -0.55]: 0 / 0
[6.13497, 6.45786]; [-0.55, -0.5]: 884 / 70
[6.13497, 6.45786]; [-0.5, -0.45]: 6310 / 511
[6.13497, 6.45786]; [-0.45, -0.4]: 16026 / 1259
[6.13497, 6.45786]; [-0.4, -0.35]: 23160 / 1879
[6.13497, 6.45786]; [-0.35, -0.3]: 27108 / 2222
[6.13497, 6.45786]; [-0.3, -0.25]: 28995 / 2237
