[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries
[5.48918, 5.81208]; [0.1, 0.15]: 58365 / 4289
[5.48918, 5.81208]; [0.15, 0.2]: 58194 / 4332
[5.48918, 5.81208]; [0.2, 0.25]: 56837 / 4136
[5.48918, 5.81208]; [0.25, 0.3]: 51707 / 3768
[5.48918, 5.81208]; [0.3, 0.35]: 42259 / 3070
[5.48918, 5.81208]; [0.35, 0.4]: 27058 / 1926
[5.48918, 5.81208]; [0.4, 0.45]: 10949 / 809
[5.48918, 5.81208]; [0.45, 0.5]: 1745 / 119
[5.48918, 5.81208]; [0.5, 0.55]: 0 / 0
[5.48918, 5.81208]; [0.55, 0.6]: 0 / 0
[5.48918, 5.81208]; [0.6, 0.65]: 0 / 0
[5.48918, 5.81208]; [0.65, 0.7]: 0 / 0
[5.48918, 5.81208]; [0.7, 0.75]: 0 / 0
[5.48918, 5.81208]; [0.75, 0.8]: 0 / 0
[5.48918, 5.81208]; [0.8, 0.85]: 0 / 0
[5.48918, 5.81208]; [0.85, 0.9]: 0 / 0

[5.81208, 6.13497]; [-0.9, -0.85]: 0 / 0
[5.81208, 6.13497]; [-0.85, -0.8]: 0 / 0
[5.81208, 6.13497]; [-0.8, -0.75]: 0 / 0
[5.81208, 6.13497]; [-0.75, -0.7]: 0 / 0
[5.81208, 6.13497]; [-0.7, -0.65]: 0 / 0
[5.81208, 6.13497]; [-0.65, -0.6]: 0 / 0
[5.81208, 6.13497]; [-0.6, -0.55]: 0 / 0
[5.81208, 6.13497]; [-0.55, -0.5]: 162 / 13
[5.81208, 6.13497]; [-0.5, -0.45]: 4579 / 312
[5.81208, 6.13497]; [-0.45, -0.4]: 15153 / 1093
[5.81208, 6.13497]; [-0.4, -0.35]: 28943 / 1977
[5.81208, 6.13497]; [-0.35, -0.3]: 37315 / 2631
[5.81208, 6.13497]; [-0.3, -0.25]: 41582 / 3078
[5.81208, 6.13497]; [-0.25, -0.2]: 42888 / 3052
[5.81208, 6.13497]; [-0.2, -0.15]: 42686 / 3114
[5.81208, 6.13497]; [-0.15, -0.1]: 43265 / 3190
[5.81208, 6.13497]; [-0.1, -0.05]: 42914 / 3024
[5.81208, 6.13497]; [-0.05, 0]: 42779 / 3142
[5.81208, 6.13497]; [0, 0.05]: 42526 / 3144
[5.81208, 6.13497]; [0.05, 0.1]: 42857 / 3219
[5.81208, 6.13497]; [0.1, 0.15]: 43197 / 3086
[5.81208, 6.13497]; [0.15, 0.2]: 43171 / 3035
[5.81208, 6.13497]; [0.2, 0.25]: 42568 / 3143
[5.81208, 6.13497]; [0.25, 0.3]: 41403 / 2936
[5.81208, 6.13497]; [0.3, 0.35]: 37173 / 2680
[5.81208, 6.13497]; [0.35, 0.4]: 28354 / 2026
[5.81208, 6.13497]; [0.4, 0.45]: 15037 / 1126
[5.81208, 6.13497]; [0.45, 0.5]: 4515 / 322
[5.81208, 6.13497]; [0.5, 0.55]: 158 / 13
[5.81208, 6.13497]; [0.55, 0.6]: 0 / 0
[5.81208, 6.13497]; [0.6, 0.65]: 0 / 0
[5.81208, 6.13497]; [0.65, 0.7]: 0 / 0
[5.81208, 6.13497]; [0.7, 0.75]: 0 / 0
[5.81208, 6.13497]; [0.75, 0.8]: 0 / 0
[5.81208, 6.13497]; [0.8, 0.85]: 0 / 0
[5.81208, 6.13497]; [0.85, 0.9]: 0 / 0

[6.13497, 6.45786]; [-0.9, -0.85]: 0 / 0
[6.13497, 6.45786]; [-0.85, -0.8]: 0 / 0
[6.13497, 6.45786]; [-0.8, -0.75]: 0 / 0
[6.13497, 6.45786]; [-0.75, -0.7]: 0 / 0
[6.13497, 6.45786]; [-0.7, -0.65]: 0 / 0
[6.13497, 6.45786]; [-0.65, -0.6]: 0 / 0
[6.13497, 6.45786]; [-0.6, -0.55]: 0 / 0
[6.13497, 6.45786]; [-0.55, -0.5]: 975 / 70
[6.13497, 6.45786]; [-0.5, -0.45]: 7263 / 511
[6.13497, 6.45786]; [-0.45, -0.4]: 18077 / 1259
[6.13497, 6.45786]; [-0.4, -0.35]: 26080 / 1879
[6.13497, 6.45786]; [-0.35, -0.3]: 30240 / 2222
[6.13497, 6.45786]; [-0.3, -0.25]: 31904 / 2237
[6.13497, 6.45786]; [-0.25, -0.2]: 31889 / 2366
[6.13497, 6.45786]; [-0.2, -0.15]: 31900 / 2285
[6.13497, 6.45786]; [-0.15, -0.1]: 32093 / 2256
[6.13497, 6.45786]; [-0.1, -0.05]: 31844 / 2371
[6.13497, 6.45786]; [-0.05, 0]: 32258 / 2290
[6.13497, 6.45786]; [0, 0.05]: 32102 / 2338
[6.13497, 6.45786]; [0.05, 0.1]: 31697 / 2306
[6.13497, 6.45786]; [0.1, 0.15]: 32259 / 2304
[6.13497, 6.45786]; [0.15, 0.2]: 32269 / 2402
[6.13497, 6.45786]; [0.2, 0.25]: 31998 / 2342
[6.13497, 6.45786]; [0.25, 0.3]: 31796 / 2308
[6.13497, 6.45786]; [0.3, 0.35]: 30792 / 2171
[6.13497, 6.45786]; [0.35, 0.4]: 26017 / 1868
[6.13497, 6.45786]; [0.4, 0.45]: 17696 / 1294
[6.13497, 6.45786]; [0.45, 0.5]: 7072 / 524
[6.13497, 6.45786]; [0.5, 0.55]: 1054 / 76
[6.13497, 6.45786]; [0.55, 0.6]: 0 / 0
[6.13497, 6.45786]; [0.6, 0.65]: 0 / 0
[6.13497, 6.45786]; [0.65, 0.7]: 0 / 0
[6.13497, 6.45786]; [0.7, 0.75]: 0 / 0
[6.13497, 6.45786]; [0.75, 0.8]: 0 / 0
[6.13497, 6.45786]; [0.8, 0.85]: 0 / 0
[6.13497, 6.45786]; [0.85, 0.9]: 0 / 0

[6.45786, 7.10365]; [-0.9, -0.85]: 0 / 0
[6.45786, 7.10365]; [-0.85, -0.8]: 0 / 0
[6.45786, 7.10365]; [-0.8, -0.75]: 0 / 0
[6.45786, 7.10365]; [-0.75, -0.7]: 0 / 0
[6.45786, 7.10365]; [-0.7, -0.65]: 0 / 0
[6.45786, 7.10365]; [-0.65, -0.6]: 0 / 0
[6.45786, 7.10365]; [-0.6, -0.55]: 374 / 29
[6.45786, 7.10365]; [-0.55, -0.5]: 6497 / 479
[6.45786, 7.10365]; [-0.5, -0.45]: 20533 / 1434
[6.45786, 7.10365]; [-0.45, -0.4]: 33634 / 2341
[6.45786, 7.10365]; [-0.4, -0.35]: 40371 / 2798
[6.45786, 7.10365]; [-0.35, -0.3]: 42888 / 3069
[6.45786, 7.10365]; [-0.3, -0.25]: 42925 / 3013
[6.45786, 7.10365]; [-0.25, -0.2]: 42783 / 2988
[6.45786, 7.10365]; [-0.2, -0.15]: 42439 / 3071
[6.45786, 7.10365]; [-0.15, -0.1]: 42524 / 2968
[6.45786, 7.10365]; [-0.1, -0.05]: 42024 / 3095
[6.45786, 7.10365]; [-0.05, 0]: 42194 / 3015
[6.45786, 7.10365]; [0, 0.05]: 42500 / 3074
[6.45786, 7.10365]; [0.05, 0.1]: 42444 / 3063
[6.45786, 7.10365]; [0.1, 0.15]: 42571 / 3067
[6.45786, 7.10365]; [0.15, 0.2]: 42324 / 3014
[6.45786, 7.10365]; [0.2, 0.25]: 42788 / 3007
[6.45786, 7.10365]; [0.25, 0.3]: 42955 / 3029
[6.45786, 7.10365]; [0.3, 0.35]: 42966 / 3028
[6.45786, 7.10365]; [0.35, 0.4]: 40232 / 2933
[6.45786, 7.10365]; [0.4, 0.45]: 33275 / 2408
[6.45786, 7.10365]; [0.45, 0.5]: 20259 / 1405
[6.45786, 7.10365]; [0.5, 0.55]: 6476 / 475
[6.45786, 7.10365]; [0.55, 0.6]: 395 / 25
[6.45786, 7.10365]; [0.6, 0.65]: 0 / 0
[6.45786, 7.10365]; [0.65, 0.7]: 0 / 0
[6.45786, 7.10365]; [0.7, 0.75]: 0 / 0
[6.45786, 7.10365]; [0.75, 0.8]: 0 / 0
[6.45786, 7.10365]; [0.8, 0.85]: 0 / 0
[6.45786, 7.10365]; [0.85, 0.9]: 0 / 0

[7.10365, 7.74943]; [-0.9, -0.85]: 0 / 0
[7.10365, 7.74943]; [-0.85, -0.8]: 0 / 0
[7.10365, 7.74943]; [-0.8, -0.75]: 0 / 0
[7.10365, 7.74943]; [-0.75, -0.7]: 0 / 0
[7.10365, 7.74943]; [-0.7, -0.65]: 0 / 0
[7.10365, 7.74943]; [-0.65, -0.6]: 29 / 5
[7.10365, 7.74943]; [-0.6, -0.55]: 2696 / 188
[7.10365, 7.74943]; [-0.55, -0.5]: 11255 / 744
[7.10365, 7.74943]; [-0.5, -0.45]: 20553 / 1467
[7.10365, 7.74943]; [-0.45, -0.4]: 24577 / 1735
[7.10365, 7.74943]; [-0.4, -0.35]: 25851 / 1868
[7.10365, 7.74943]; [-0.35, -0.3]: 25276 / 1822
[7.10365, 7.74943]; [-0.3, -0.25]: 25388 / 1767
[7.10365, 7.74943]; [-0.25, -0.2]: 25185 / 1790
[7.10365, 7.74943]; [-0.2, -0.15]: 25259 / 1789
[7.10365, 7.74943]; [-0.15, -0.1]: 25229 / 1770
[7.10365, 7.74943]; [-0.1, -0.05]: 25142 / 1830
[7.10365, 7.74943]; [-0.05, 0]: 24809 / 1753
[7.10365, 7.74943]; [0, 0.05]: 24812 / 1784
[7.10365, 7.74943]; [0.05, 0.1]: 24985 / 1776
[7.10365, 7.74943]; [0.1, 0.15]: 25050 / 1804
[7.10365, 7.74943]; [0.15, 0.2]: 25109 / 1833
