[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries
[56, 58]; [0.15, 0.2]: 1156 / 5805
[56, 58]; [0.2, 0.25]: 1161 / 5732
[56, 58]; [0.25, 0.3]: 1146 / 5731
[56, 58]; [0.3, 0.35]: 1200 / 5885
[56, 58]; [0.35, 0.4]: 1195 / 6074
[56, 58]; [0.4, 0.45]: 1264 / 6086
[56, 58]; [0.45, 0.5]: 1294 / 6244
[56, 58]; [0.5, 0.55]: 1256 / 6284
[56, 58]; [0.55, 0.6]: 1336 / 6456
[56, 58]; [0.6, 0.65]: 1384 / 6430
[56, 58]; [0.65, 0.7]: 1403 / 6543
[56, 58]; [0.7, 0.75]: 1416 / 6800
[56, 58]; [0.75, 0.8]: 1405 / 6331
[56, 58]; [0.8, 0.85]: 238 / 1088
[56, 58]; [0.85, 0.9]: 0 / 0
[56, 58]; [0.9, 0.95]: 0 / 0
[56, 58]; [0.95, 1]: 0 / 0

[58, 60]; [-1, -0.95]: 0 / 0
[58, 60]; [-0.95, -0.9]: 0 / 0
[58, 60]; [-0.9, -0.85]: 0 / 0
[58, 60]; [-0.85, -0.8]: 313 / 1425
[58, 60]; [-0.8, -0.75]: 1181 / 5656
[58, 60]; [-0.75, -0.7]: 1081 / 5489
[58, 60]; [-0.7, -0.65]: 1230 / 5439
[58, 60]; [-0.65, -0.6]: 1132 / 5340
[58, 60]; [-0.6, -0.55]: 1111 / 5192
[58, 60]; [-0.55, -0.5]: 1073 / 5244
[58, 60]; [-0.5, -0.45]: 1096 / 5128
[58, 60]; [-0.45, -0.4]: 1029 / 5054
[58, 60]; [-0.4, -0.35]: 1021 / 4975
[58, 60]; [-0.35, -0.3]: 1018 / 4813
[58, 60]; [-0.3, -0.25]: 1049 / 4777
[58, 60]; [-0.25, -0.2]: 951 / 4896
[58, 60]; [-0.2, -0.15]: 972 / 4617
[58, 60]; [-0.15, -0.1]: 878 / 4731
[58, 60]; [-0.1, -0.05]: 976 / 4664
[58, 60]; [-0.05, 0]: 948 / 4721
[58, 60]; [0, 0.05]: 901 / 4771
[58, 60]; [0.05, 0.1]: 874 / 4633
[58, 60]; [0.1, 0.15]: 940 / 4945
[58, 60]; [0.15, 0.2]: 907 / 4762
[58, 60]; [0.2, 0.25]: 993 / 4800
[58, 60]; [0.25, 0.3]: 938 / 4787
[58, 60]; [0.3, 0.35]: 1023 / 4910
[58, 60]; [0.35, 0.4]: 1013 / 5014
[58, 60]; [0.4, 0.45]: 1045 / 5169
[58, 60]; [0.45, 0.5]: 1053 / 5238
[58, 60]; [0.5, 0.55]: 1108 / 5278
[58, 60]; [0.55, 0.6]: 1103 / 5409
[58, 60]; [0.6, 0.65]: 1080 / 5344
[58, 60]; [0.65, 0.7]: 1133 / 5534
[58, 60]; [0.7, 0.75]: 1148 / 5740
[58, 60]; [0.75, 0.8]: 1208 / 5566
[58, 60]; [0.8, 0.85]: 321 / 1450
[58, 60]; [0.85, 0.9]: 0 / 0
[58, 60]; [0.9, 0.95]: 0 / 0
[58, 60]; [0.95, 1]: 0 / 0

[60, 62]; [-1, -0.95]: 0 / 0
[60, 62]; [-0.95, -0.9]: 0 / 0
[60, 62]; [-0.9, -0.85]: 0 / 0
[60, 62]; [-0.85, -0.8]: 347 / 1695
[60, 62]; [-0.8, -0.75]: 956 / 4691
[60, 62]; [-0.75, -0.7]: 983 / 4768
[60, 62]; [-0.7, -0.65]: 914 / 4564
[60, 62]; [-0.65, -0.6]: 893 / 4510
[60, 62]; [-0.6, -0.55]: 912 / 4398
[60, 62]; [-0.55, -0.5]: 914 / 4413
[60, 62]; [-0.5, -0.45]: 859 / 4306
[60, 62]; [-0.45, -0.4]: 825 / 4215
[60, 62]; [-0.4, -0.35]: 759 / 4131
[60, 62]; [-0.35, -0.3]: 812 / 4075
[60, 62]; [-0.3, -0.25]: 782 / 4018
[60, 62]; [-0.25, -0.2]: 770 / 3878
[60, 62]; [-0.2, -0.15]: 760 / 3950
[60, 62]; [-0.15, -0.1]: 750 / 3917
[60, 62]; [-0.1, -0.05]: 752 / 3927
[60, 62]; [-0.05, 0]: 764 / 3948
[60, 62]; [0, 0.05]: 736 / 3807
[60, 62]; [0.05, 0.1]: 748 / 3911
[60, 62]; [0.1, 0.15]: 795 / 3931
[60, 62]; [0.15, 0.2]: 768 / 3906
[60, 62]; [0.2, 0.25]: 777 / 4058
[60, 62]; [0.25, 0.3]: 776 / 4095
[60, 62]; [0.3, 0.35]: 768 / 4015
[60, 62]; [0.35, 0.4]: 833 / 4145
[60, 62]; [0.4, 0.45]: 844 / 4231
[60, 62]; [0.45, 0.5]: 884 / 4356
[60, 62]; [0.5, 0.55]: 870 / 4497
[60, 62]; [0.55, 0.6]: 958 / 4444
[60, 62]; [0.6, 0.65]: 914 / 4479
[60, 62]; [0.65, 0.7]: 960 / 4577
[60, 62]; [0.7, 0.75]: 970 / 4693
[60, 62]; [0.75, 0.8]: 1043 / 4730
[60, 62]; [0.8, 0.85]: 364 / 1757
[60, 62]; [0.85, 0.9]: 0 / 0
[60, 62]; [0.9, 0.95]: 0 / 0
[60, 62]; [0.95, 1]: 0 / 0

[62, 64]; [-1, -0.95]: 0 / 0
[62, 64]; [-0.95, -0.9]: 0 / 0
[62, 64]; [-0.9, -0.85]: 0 / 0
[62, 64]; [-0.85, -0.8]: 374 / 1874
[62, 64]; [-0.8, -0.75]: 839 / 3908
[62, 64]; [-0.75, -0.7]: 857 / 3870
[62, 64]; [-0.7, -0.65]: 856 / 3824
[62, 64]; [-0.65, -0.6]: 746 / 3731
[62, 64]; [-0.6, -0.55]: 728 / 3732
[62, 64]; [-0.55, -0.5]: 714 / 3562
[62, 64]; [-0.5, -0.45]: 736 / 3520
[62, 64]; [-0.45, -0.4]: 709 / 3481
[62, 64]; [-0.4, -0.35]: 690 / 3509
[62, 64]; [-0.35, -0.3]: 700 / 3321
[62, 64]; [-0.3, -0.25]: 609 / 3260
[62, 64]; [-0.25, -0.2]: 628 / 3307
[62, 64]; [-0.2, -0.15]: 667 / 3213
[62, 64]; [-0.15, -0.1]: 624 / 3174
[62, 64]; [-0.1, -0.05]: 610 / 3276
[62, 64]; [-0.05, 0]: 650 / 3199
[62, 64]; [0, 0.05]: 606 / 3291
[62, 64]; [0.05, 0.1]: 741 / 3184
[62, 64]; [0.1, 0.15]: 650 / 3277
[62, 64]; [0.15, 0.2]: 652 / 3241
[62, 64]; [0.2, 0.25]: 632 / 3235
[62, 64]; [0.25, 0.3]: 673 / 3315
[62, 64]; [0.3, 0.35]: 614 / 3353
[62, 64]; [0.35, 0.4]: 701 / 3458
[62, 64]; [0.4, 0.45]: 701 / 3476
[62, 64]; [0.45, 0.5]: 757 / 3566
[62, 64]; [0.5, 0.55]: 755 / 3692
[62, 64]; [0.55, 0.6]: 756 / 3787
[62, 64]; [0.6, 0.65]: 744 / 3745
[62, 64]; [0.65, 0.7]: 798 / 3831
[62, 64]; [0.7, 0.75]: 825 / 3938
[62, 64]; [0.75, 0.8]: 840 / 4063
[62, 64]; [0.8, 0.85]: 394 / 1986
[62, 64]; [0.85, 0.9]: 0 / 0
[62, 64]; [0.9, 0.95]: 0 / 0
[62, 64]; [0.95, 1]: 0 / 0

[64, 66]; [-1, -0.95]: 0 / 0
[64, 66]; [-0.95, -0.9]: 0 / 0
[64, 66]; [-0.9, -0.85]: 0 / 0
[64, 66]; [-0.85, -0.8]: 425 / 1965
[64, 66]; [-0.8, -0.75]: 725 / 3325
[64, 66]; [-0.75, -0.7]: 631 / 3247
[64, 66]; [-0.7, -0.65]: 696 / 3193
[64, 66]; [-0.65, -0.6]: 659 / 3125
[64, 66]; [-0.6, -0.55]: 597 / 3162
[64, 66]; [-0.55, -0.5]: 584 / 3095
[64, 66]; [-0.5, -0.45]: 588 / 2940
[64, 66]; [-0.45, -0.4]: 573 / 2873
[64, 66]; [-0.4, -0.35]: 547 / 2836
[64, 66]; [-0.35, -0.3]: 539 / 2809
[64, 66]; [-0.3, -0.25]: 532 / 2737
[64, 66]; [-0.25, -0.2]: 558 / 2727
[64, 66]; [-0.2, -0.15]: 524 / 2593
[64, 66]; [-0.15, -0.1]: 486 / 2758
[64, 66]; [-0.1, -0.05]: 520 / 2723
[64, 66]; [-0.05, 0]: 526 / 2662
[64, 66]; [0, 0.05]: 501 / 2717
[64, 66]; [0.05, 0.1]: 484 / 2724
[64, 66]; [0.1, 0.15]: 522 / 2723
[64, 66]; [0.15, 0.2]: 532 / 2808
[64, 66]; [0.2, 0.25]: 552 / 2670
[64, 66]; [0.25, 0.3]: 569 / 2830
[64, 66]; [0.3, 0.35]: 589 / 2697
[64, 66]; [0.35, 0.4]: 553 / 2845
[64, 66]; [0.4, 0.45]: 595 / 3013
[64, 66]; [0.45, 0.5]: 646 / 2988
[64, 66]; [0.5, 0.55]: 603 / 3099
[64, 66]; [0.55, 0.6]: 628 / 3141
[64, 66]; [0.6, 0.65]: 616 / 3124
[64, 66]; [0.65, 0.7]: 671 / 3278
[64, 66]; [0.7, 0.75]: 675 / 3274
[64, 66]; [0.75, 0.8]: 709 / 3429
[64, 66]; [0.8, 0.85]: 458 / 2038
[64, 66]; [0.85, 0.9]: 0 / 0
[64, 66]; [0.9, 0.95]: 0 / 0
[64, 66]; [0.95, 1]: 0 / 0

