[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries
[14, 15]; [0.35, 0.4]: 2722 / 293
[14, 15]; [0.4, 0.45]: 8 / 1
[14, 15]; [0.45, 0.5]: 0 / 0
[14, 15]; [0.5, 0.55]: 0 / 0
[14, 15]; [0.55, 0.6]: 0 / 0
[14, 15]; [0.6, 0.65]: 0 / 0
[14, 15]; [0.65, 0.7]: 0 / 0
[14, 15]; [0.7, 0.75]: 0 / 0
[14, 15]; [0.75, 0.8]: 0 / 0
[14, 15]; [0.8, 0.85]: 0 / 0
[14, 15]; [0.85, 0.9]: 0 / 0

[15, 16]; [-0.9, -0.85]: 0 / 0
[15, 16]; [-0.85, -0.8]: 0 / 0
[15, 16]; [-0.8, -0.75]: 0 / 0
[15, 16]; [-0.75, -0.7]: 0 / 0
[15, 16]; [-0.7, -0.65]: 0 / 0
[15, 16]; [-0.65, -0.6]: 0 / 0
[15, 16]; [-0.6, -0.55]: 0 / 0
[15, 16]; [-0.55, -0.5]: 0 / 0
[15, 16]; [-0.5, -0.45]: 0 / 0
[15, 16]; [-0.45, -0.4]: 943 / 81
[15, 16]; [-0.4, -0.35]: 9031 / 932
[15, 16]; [-0.35, -0.3]: 24003 / 2429
[15, 16]; [-0.3, -0.25]: 45142 / 4666
[15, 16]; [-0.25, -0.2]: 60220 / 6260
[15, 16]; [-0.2, -0.15]: 70048 / 7206
[15, 16]; [-0.15, -0.1]: 76693 / 8012
[15, 16]; [-0.1, -0.05]: 78129 / 8047
[15, 16]; [-0.05, 0]: 78445 / 8092
[15, 16]; [0, 0.05]: 78912 / 8056
[15, 16]; [0.05, 0.1]: 78439 / 8091
[15, 16]; [0.1, 0.15]: 76504 / 7979
[15, 16]; [0.15, 0.2]: 70316 / 7223
[15, 16]; [0.2, 0.25]: 60412 / 6191
[15, 16]; [0.25, 0.3]: 45076 / 4630
[15, 16]; [0.3, 0.35]: 24254 / 2517
[15, 16]; [0.35, 0.4]: 9114 / 926
[15, 16]; [0.4, 0.45]: 872 / 103
[15, 16]; [0.45, 0.5]: 0 / 0
[15, 16]; [0.5, 0.55]: 0 / 0
[15, 16]; [0.55, 0.6]: 0 / 0
[15, 16]; [0.6, 0.65]: 0 / 0
[15, 16]; [0.65, 0.7]: 0 / 0
[15, 16]; [0.7, 0.75]: 0 / 0
[15, 16]; [0.75, 0.8]: 0 / 0
[15, 16]; [0.8, 0.85]: 0 / 0
[15, 16]; [0.85, 0.9]: 0 / 0

[16, 17]; [-0.9, -0.85]: 0 / 0
[16, 17]; [-0.85, -0.8]: 0 / 0
[16, 17]; [-0.8, -0.75]: 0 / 0
[16, 17]; [-0.75, -0.7]: 0 / 0
[16, 17]; [-0.7, -0.65]: 0 / 0
[16, 17]; [-0.65, -0.6]: 0 / 0
[16, 17]; [-0.6, -0.55]: 0 / 0
[16, 17]; [-0.55, -0.5]: 0 / 0
[16, 17]; [-0.5, -0.45]: 110 / 12
[16, 17]; [-0.45, -0.4]: 4480 / 440
[16, 17]; [-0.4, -0.35]: 15528 / 1439
[16, 17]; [-0.35, -0.3]: 33011 / 3082
[16, 17]; [-0.3, -0.25]: 45936 / 4384
[16, 17]; [-0.25, -0.2]: 54374 / 5234
[16, 17]; [-0.2, -0.15]: 58850 / 5681
[16, 17]; [-0.15, -0.1]: 60330 / 5799
[16, 17]; [-0.1, -0.05]: 60472 / 5871
[16, 17]; [-0.05, 0]: 61146 / 5861
[16, 17]; [0, 0.05]: 60505 / 5897
[16, 17]; [0.05, 0.1]: 60733 / 5752
[16, 17]; [0.1, 0.15]: 59769 / 5898
[16, 17]; [0.15, 0.2]: 59041 / 5688
[16, 17]; [0.2, 0.25]: 53888 / 5214
[16, 17]; [0.25, 0.3]: 45774 / 4450
[16, 17]; [0.3, 0.35]: 32479 / 3062
[16, 17]; [0.35, 0.4]: 15649 / 1505
[16, 17]; [0.4, 0.45]: 4583 / 407
[16, 17]; [0.45, 0.5]: 125 / 11
[16, 17]; [0.5, 0.55]: 0 / 0
[16, 17]; [0.55, 0.6]: 0 / 0
[16, 17]; [0.6, 0.65]: 0 / 0
[16, 17]; [0.65, 0.7]: 0 / 0
[16, 17]; [0.7, 0.75]: 0 / 0
[16, 17]; [0.75, 0.8]: 0 / 0
[16, 17]; [0.8, 0.85]: 0 / 0
[16, 17]; [0.85, 0.9]: 0 / 0

[17, 18]; [-0.9, -0.85]: 0 / 0
[17, 18]; [-0.85, -0.8]: 0 / 0
[17, 18]; [-0.8, -0.75]: 0 / 0
[17, 18]; [-0.75, -0.7]: 0 / 0
[17, 18]; [-0.7, -0.65]: 0 / 0
[17, 18]; [-0.65, -0.6]: 0 / 0
[17, 18]; [-0.6, -0.55]: 0 / 0
[17, 18]; [-0.55, -0.5]: 0 / 0
[17, 18]; [-0.5, -0.45]: 1309 / 107
[17, 18]; [-0.45, -0.4]: 8708 / 815
[17, 18]; [-0.4, -0.35]: 21530 / 1903
[17, 18]; [-0.35, -0.3]: 33686 / 3140
[17, 18]; [-0.3, -0.25]: 41521 / 3794
[17, 18]; [-0.25, -0.2]: 46012 / 4192
[17, 18]; [-0.2, -0.15]: 46598 / 4224
[17, 18]; [-0.15, -0.1]: 47369 / 4221
[17, 18]; [-0.1, -0.05]: 47309 / 4154
[17, 18]; [-0.05, 0]: 47051 / 4227
[17, 18]; [0, 0.05]: 47565 / 4223
[17, 18]; [0.05, 0.1]: 47271 / 4289
[17, 18]; [0.1, 0.15]: 46981 / 4289
[17, 18]; [0.15, 0.2]: 47115 / 4332
[17, 18]; [0.2, 0.25]: 45770 / 4136
[17, 18]; [0.25, 0.3]: 41611 / 3768
[17, 18]; [0.3, 0.35]: 34141 / 3070
[17, 18]; [0.35, 0.4]: 21862 / 1926
[17, 18]; [0.4, 0.45]: 8766 / 809
[17, 18]; [0.45, 0.5]: 1402 / 119
[17, 18]; [0.5, 0.55]: 0 / 0
[17, 18]; [0.55, 0.6]: 0 / 0
[17, 18]; [0.6, 0.65]: 0 / 0
[17, 18]; [0.65, 0.7]: 0 / 0
[17, 18]; [0.7, 0.75]: 0 / 0
[17, 18]; [0.75, 0.8]: 0 / 0
[17, 18]; [0.8, 0.85]: 0 / 0
[17, 18]; [0.85, 0.9]: 0 / 0

[18, 19]; [-0.9, -0.85]: 0 / 0
[18, 19]; [-0.85, -0.8]: 0 / 0
[18, 19]; [-0.8, -0.75]: 0 / 0
[18, 19]; [-0.75, -0.7]: 0 / 0
[18, 19]; [-0.7, -0.65]: 0 / 0
[18, 19]; [-0.65, -0.6]: 0 / 0
[18, 19]; [-0.6, -0.55]: 0 / 0
[18, 19]; [-0.55, -0.5]: 139 / 13
[18, 19]; [-0.5, -0.45]: 3850 / 312
[18, 19]; [-0.45, -0.4]: 12692 / 1093
[18, 19]; [-0.4, -0.35]: 24639 / 1977
[18, 19]; [-0.35, -0.3]: 31693 / 2631
[18, 19]; [-0.3, -0.25]: 35617 / 3078
[18, 19]; [-0.25, -0.2]: 36531 / 3052
[18, 19]; [-0.2, -0.15]: 36630 / 3114
[18, 19]; [-0.15, -0.1]: 37180 / 3190
[18, 19]; [-0.1, -0.05]: 37146 / 3024
[18, 19]; [-0.05, 0]: 37128 / 3142
[18, 19]; [0, 0.05]: 37142 / 3144
[18, 19]; [0.05, 0.1]: 37232 / 3219
[18, 19]; [0.1, 0.15]: 36899 / 3086
[18, 19]; [0.15, 0.2]: 36721 / 3035
[18, 19]; [0.2, 0.25]: 36799 / 3143
[18, 19]; [0.25, 0.3]: 35281 / 2936
[18, 19]; [0.3, 0.35]: 31256 / 2680
[18, 19]; [0.35, 0.4]: 24330 / 2026
[18, 19]; [0.4, 0.45]: 12600 / 1126
[18, 19]; [0.45, 0.5]: 3872 / 322
[18, 19]; [0.5, 0.55]: 133 / 13
[18, 19]; [0.55, 0.6]: 0 / 0
[18, 19]; [0.6, 0.65]: 0 / 0
[18, 19]; [0.65, 0.7]: 0 / 0
[18, 19]; [0.7, 0.75]: 0 / 0
[18, 19]; [0.75, 0.8]: 0 / 0
[18, 19]; [0.8, 0.85]: 0 / 0
[18, 19]; [0.85, 0.9]: 0 / 0

[19, 20]; [-0.9, -0.85]: 0 / 0
[19, 20]; [-0.85, -0.8]: 0 / 0
[19, 20]; [-0.8, -0.75]: 0 / 0
[19, 20]; [-0.75, -0.7]: 0 / 0
[19, 20]; [-0.7, -0.65]: 0 / 0
[19, 20]; [-0.65, -0.6]: 0 / 0
[19, 20]; [-0.6, -0.55]: 0 / 0
[19, 20]; [-0.55, -0.5]: 884 / 70
[19, 20]; [-0.5, -0.45]: 6310 / 511
[19, 20]; [-0.45, -0.4]: 16026 / 1259
[19, 20]; [-0.4, -0.35]: 23160 / 1879
[19, 20]; [-0.35, -0.3]: 27108 / 2222
[19, 20]; [-0.3, -0.25]: 28995 / 2237
[19, 20]; [-0.25, -0.2]: 28979 / 2366
[19, 20]; [-0.2, -0.15]: 29352 / 2285
[19, 20]; [-0.15, -0.1]: 29404 / 2256
[19, 20]; [-0.1, -0.05]: 29363 / 2371
[19, 20]; [-0.05, 0]: 29333 / 2290
[19, 20]; [0, 0.05]: 29488 / 2338
[19, 20]; [0.05, 0.1]: 29103 / 2306
[19, 20]; [0.1, 0.15]: 29108 / 2304
[19, 20]; [0.15, 0.2]: 29150 / 2402
[19, 20]; [0.2, 0.25]: 29081 / 2342
[19, 20]; [0.25, 0.3]: 28924 / 2308
[19, 20]; [0.3, 0.35]: 27494 / 2171
[19, 20]; [0.35, 0.4]: 23493 / 1868
[19, 20]; [0.4, 0.45]: 15993 / 1294
[19, 20]; [0.45, 0.5]: 6415 / 524
[19, 20]; [0.5, 0.55]: 931 / 76
[19, 20]; [0.55, 0.6]: 0 / 0
[19, 20]; [0.6, 0.65]: 0 / 0
[19, 20]; [0.65, 0.7]: 0 / 0
[19, 20]; [0.7, 0.75]: 0 / 0
[19, 20]; [0.75, 0.8]: 0 / 0
[19, 20]; [0.8, 0.85]: 0 / 0
[19, 20]; [0.85, 0.9]: 0 / 0

[20, 22]; [-0.9, -0.85]: 0 / 0
[20, 22]; [-0.85, -0.8]: 0 / 0
[20, 22]; [-0.8, -0.75]: 0 / 0
[20, 22]; [-0.75, -0.7]: 0 / 0
[20, 22]; [-0.7, -0.65]: 0 / 0
[20, 22]; [-0.65, -0.6]: 0 / 0
[20, 22]; [-0.6, -0.55]: 354 / 29
[20, 22]; [-0.55, -0.5]: 6142 / 479
[20, 22]; [-0.5, -0.45]: 19553 / 1434
[20, 22]; [-0.45, -0.4]: 32368 / 2341
[20, 22]; [-0.4, -0.35]: 39090 / 2798
[20, 22]; [-0.35, -0.3]: 41550 / 3069
[20, 22]; [-0.3, -0.25]: 41736 / 3013
[20, 22]; [-0.25, -0.2]: 41536 / 2988
[20, 22]; [-0.2, -0.15]: 41589 / 3071
[20, 22]; [-0.15, -0.1]: 41629 / 2968
[20, 22]; [-0.1, -0.05]: 41905 / 3095
[20, 22]; [-0.05, 0]: 41765 / 3015
[20, 22]; [0, 0.05]: 41885 / 3074
[20, 22]; [0.05, 0.1]: 42157 / 3063
[20, 22]; [0.1, 0.15]: 41937 / 3067
[20, 22]; [0.15, 0.2]: 41685 / 3014
[20, 22]; [0.2, 0.25]: 41579 / 3007
[20, 22]; [0.25, 0.3]: 41635 / 3029
[20, 22]; [0.3, 0.35]: 41584 / 3028
[20, 22]; [0.35, 0.4]: 38634 / 2933
[20, 22]; [0.4, 0.45]: 31945 / 2408
[20, 22]; [0.45, 0.5]: 19472 / 1405
[20, 22]; [0.5, 0.55]: 6075 / 475
[20, 22]; [0.55, 0.6]: 361 / 25
[20, 22]; [0.6, 0.65]: 0 / 0
[20, 22]; [0.65, 0.7]: 0 / 0
[20, 22]; [0.7, 0.75]: 0 / 0
[20, 22]; [0.75, 0.8]: 0 / 0
[20, 22]; [0.8, 0.85]: 0 / 0
[20, 22]; [0.85, 0.9]: 0 / 0

[22, 24]; [-0.9, -0.85]: 0 / 0
[22, 24]; [-0.85, -0.8]: 0 / 0
[22, 24]; [-0.8, -0.75]: 0 / 0
[22, 24]; [-0.75, -0.7]: 0 / 0
[22, 24]; [-0.7, -0.65]: 0 / 0
[22, 24]; [-0.65, -0.6]: 35 / 5
[22, 24]; [-0.6, -0.55]: 2685 / 188
[22, 24]; [-0.55, -0.5]: 11762 / 744
[22, 24]; [-0.5, -0.45]: 21212 / 1467
[22, 24]; [-0.45, -0.4]: 25672 / 1735
[22, 24]; [-0.4, -0.35]: 26755 / 1868
[22, 24]; [-0.35, -0.3]: 27009 / 1822
[22, 24]; [-0.3, -0.25]: 27175 / 1767
[22, 24]; [-0.25, -0.2]: 26800 / 1790
[22, 24]; [-0.2, -0.15]: 27150 / 1789
[22, 24]; [-0.15, -0.1]: 26976 / 1770
[22, 24]; [-0.1, -0.05]: 27021 / 1830
[22, 24]; [-0.05, 0]: 27244 / 1753
[22, 24]; [0, 0.05]: 27449 / 1784
[22, 24]; [0.05, 0.1]: 27064 / 1776
[22, 24]; [0.1, 0.15]: 27314 / 1804
[22, 24]; [0.15, 0.2]: 26980 / 1833
[22, 24]; [0.2, 0.25]: 26945 / 1789
[22, 24]; [0.25, 0.3]: 27068 / 1805
[22, 24]; [0.3, 0.35]: 27053 / 1817
[22, 24]; [0.35, 0.4]: 27069 / 1842
[22, 24]; [0.4, 0.45]: 25639 / 1683
[22, 24]; [0.45, 0.5]: 21082 / 1505
[22, 24]; [0.5, 0.55]: 11645 / 825
[22, 24]; [0.55, 0.6]: 2709 / 190
[22, 24]; [0.6, 0.65]: 28 / 1
[22, 24]; [0.65, 0.7]: 0 / 0
[22, 24]; [0.7, 0.75]: 0 / 0
[22, 24]; [0.75, 0.8]: 0 / 0
[22, 24]; [0.8, 0.85]: 0 / 0
[22, 24]; [0.85, 0.9]: 0 / 0

[24, 26]; [-0.9, -0.85]: 0 / 0
[24, 26]; [-0.85, -0.8]: 0 / 0
[24, 26]; [-0.8, -0.75]: 0 / 0
[24, 26]; [-0.75, -0.7]: 0 / 0
[24, 26]; [-0.7, -0.65]: 0 / 0
[24, 26]; [-0.65, -0.6]: 651 / 32
[24, 26]; [-0.6, -0.55]: 5852 / 344
[24, 26]; [-0.55, -0.5]: 13392 / 802
[24, 26]; [-0.5, -0.45]: 17267 / 1064
[24, 26]; [-0.45, -0.4]: 18089 / 1186
[24, 26]; [-0.4, -0.35]: 17985 / 1144
[24, 26]; [-0.35, -0.3]: 17864 / 1108
[24, 26]; [-0.3, -0.25]: 18127 / 1105
[24, 26]; [-0.25, -0.2]: 18067 / 1079
[24, 26]; [-0.2, -0.15]: 18148 / 1088
[24, 26]; [-0.15, -0.1]: 17958 / 1143
[24, 26]; [-0.1, -0.05]: 18061 / 1085
[24, 26]; [-0.05, 0]: 18041 / 1079
[24, 26]; [0, 0.05]: 18183 / 1047
[24, 26]; [0.05, 0.1]: 18097 / 1076
[24, 26]; [0.1, 0.15]: 18083 / 1020
[24, 26]; [0.15, 0.2]: 17682 / 1085
[24, 26]; [0.2, 0.25]: 18097 / 1055
[24, 26]; [0.25, 0.3]: 17903 / 1037
[24, 26]; [0.3, 0.35]: 18328 / 1098
[24, 26]; [0.35, 0.4]: 18175 / 1058
[24, 26]; [0.4, 0.45]: 17920 / 1089
[24, 26]; [0.45, 0.5]: 17279 / 1095
[24, 26]; [0.5, 0.55]: 13379 / 848
[24, 26]; [0.55, 0.6]: 5969 / 375
[24, 26]; [0.6, 0.65]: 716 / 50
[24, 26]; [0.65, 0.7]: 0 / 0
[24, 26]; [0.7, 0.75]: 0 / 0
[24, 26]; [0.75, 0.8]: 0 / 0
[24, 26]; [0.8, 0.85]: 0 / 0
[24, 26]; [0.85, 0.9]: 0 / 0

[26, 28]; [-0.9, -0.85]: 0 / 0
[26, 28]; [-0.85, -0.8]: 0 / 0
[26, 28]; [-0.8, -0.75]: 0 / 0
[26, 28]; [-0.75, -0.7]: 0 / 0
[26, 28]; [-0.7, -0.65]: 34 / 2
[26, 28]; [-0.65, -0.6]: 2002 / 102
[26, 28]; [-0.6, -0.55]: 7743 / 459
[26, 28]; [-0.55, -0.5]: 11314 / 644
[26, 28]; [-0.5, -0.45]: 12394 / 689
[26, 28]; [-0.45, -0.4]: 12385 / 731
[26, 28]; [-0.4, -0.35]: 12267 / 717
[26, 28]; [-0.35, -0.3]: 12484 / 726
[26, 28]; [-0.3, -0.25]: 12384 / 676
[26, 28]; [-0.25, -0.2]: 12318 / 704
[26, 28]; [-0.2, -0.15]: 12186 / 690
[26, 28]; [-0.15, -0.1]: 12222 / 683
[26, 28]; [-0.1, -0.05]: 12281 / 686
[26, 28]; [-0.05, 0]: 12652 / 686
[26, 28]; [0, 0.05]: 12082 / 680
[26, 28]; [0.05, 0.1]: 12387 / 694
[26, 28]; [0.1, 0.15]: 12329 / 673
[26, 28]; [0.15, 0.2]: 12261 / 699
[26, 28]; [0.2, 0.25]: 12508 / 675
[26, 28]; [0.25, 0.3]: 12427 / 689
[26, 28]; [0.3, 0.35]: 12313 / 647
[26, 28]; [0.35, 0.4]: 12505 / 653
[26, 28]; [0.4, 0.45]: 12302 / 711
[26, 28]; [0.45, 0.5]: 12419 / 699
[26, 28]; [0.5, 0.55]: 11617 / 641
[26, 28]; [0.55, 0.6]: 7908 / 450
[26, 28]; [0.6, 0.65]: 2157 / 106
[26, 28]; [0.65, 0.7]: 31 / 3
[26, 28]; [0.7, 0.75]: 0 / 0
[26, 28]; [0.75, 0.8]: 0 / 0
[26, 28]; [0.8, 0.85]: 0 / 0
[26, 28]; [0.85, 0.9]: 0 / 0

[28, 30]; [-0.9, -0.85]: 0 / 0
[28, 30]; [-0.85, -0.8]: 0 / 0
[28, 30]; [-0.8, -0.75]: 0 / 0
[28, 30]; [-0.75, -0.7]: 0 / 0
[28, 30]; [-0.7, -0.65]: 349 / 17
[28, 30]; [-0.65, -0.6]: 3646 / 194
[28, 30]; [-0.6, -0.55]: 7597 / 403
[28, 30]; [-0.55, -0.5]: 8426 / 476
[28, 30]; [-0.5, -0.45]: 8895 / 477
[28, 30]; [-0.45, -0.4]: 8586 / 475
[28, 30]; [-0.4, -0.35]: 8686 / 455
[28, 30]; [-0.35, -0.3]: 8694 / 462
[28, 30]; [-0.3, -0.25]: 8510 / 440
[28, 30]; [-0.25, -0.2]: 8729 / 435
[28, 30]; [-0.2, -0.15]: 8640 / 435
[28, 30]; [-0.15, -0.1]: 8522 / 469
[28, 30]; [-0.1, -0.05]: 8450 / 487
[28, 30]; [-0.05, 0]: 8456 / 448
[28, 30]; [0, 0.05]: 8695 / 450
[28, 30]; [0.05, 0.1]: 8652 / 444
[28, 30]; [0.1, 0.15]: 8628 / 466
[28, 30]; [0.15, 0.2]: 8567 / 470
[28, 30]; [0.2, 0.25]: 8657 / 487
[28, 30]; [0.25, 0.3]: 8708 / 455
[28, 30]; [0.3, 0.35]: 8595 / 443
[28, 30]; [0.35, 0.4]: 8679 / 453
[28, 30]; [0.4, 0.45]: 8681 / 433
[28, 30]; [0.45, 0.5]: 8686 / 445
[28, 30]; [0.5, 0.55]: 8668 / 462
[28, 30]; [0.55, 0.6]: 7604 / 393
[28, 30]; [0.6, 0.65]: 3607 / 206
[28, 30]; [0.65, 0.7]: 350 / 18
[28, 30]; [0.7, 0.75]: 0 / 0
[28, 30]; [0.75, 0.8]: 0 / 0
[28, 30]; [0.8, 0.85]: 0 / 0
[28, 30]; [0.85, 0.9]: 0 / 0

[30, 32]; [-0.9, -0.85]: 0 / 0
[30, 32]; [-0.85, -0.8]: 0 / 0
[30, 32]; [-0.8, -0.75]: 0 / 0
[30, 32]; [-0.75, -0.7]: 0 / 0
[30, 32]; [-0.7, -0.65]: 852 / 58
[30, 32]; [-0.65, -0.6]: 4281 / 239
[30, 32]; [-0.6, -0.55]: 6140 / 273
[30, 32]; [-0.55, -0.5]: 6304 / 338
[30, 32]; [-0.5, -0.45]: 6276 / 341
[30, 32]; [-0.45, -0.4]: 6065 / 310
[30, 32]; [-0.4, -0.35]: 6283 / 303
[30, 32]; [-0.35, -0.3]: 6176 / 289
[30, 32]; [-0.3, -0.25]: 6077 / 295
[30, 32]; [-0.25, -0.2]: 6268 / 246
[30, 32]; [-0.2, -0.15]: 5994 / 309
[30, 32]; [-0.15, -0.1]: 5912 / 283
[30, 32]; [-0.1, -0.05]: 6032 / 274
[30, 32]; [-0.05, 0]: 6043 / 287
[30, 32]; [0, 0.05]: 6109 / 269
[30, 32]; [0.05, 0.1]: 6082 / 315
[30, 32]; [0.1, 0.15]: 5978 / 296
[30, 32]; [0.15, 0.2]: 6084 / 275
[30, 32]; [0.2, 0.25]: 6146 / 284
[30, 32]; [0.25, 0.3]: 6194 / 295
[30, 32]; [0.3, 0.35]: 6213 / 316
[30, 32]; [0.35, 0.4]: 6031 / 302
[30, 32]; [0.4, 0.45]: 6249 / 312
[30, 32]; [0.45, 0.5]: 6247 / 337
[30, 32]; [0.5, 0.55]: 6182 / 330
[30, 32]; [0.55, 0.6]: 6056 / 311
[30, 32]; [0.6, 0.65]: 4414 / 193
[30, 32]; [0.65, 0.7]: 913 / 47
[30, 32]; [0.7, 0.75]: 1 / 0
[30, 32]; [0.75, 0.8]: 0 / 0
[30, 32]; [0.8, 0.85]: 0 / 0
[30, 32]; [0.85, 0.9]: 0 / 0

[32, 34]; [-0.9, -0.85]: 0 / 0
[32, 34]; [-0.85, -0.8]: 0 / 0
[32, 34]; [-0.8, -0.75]: 0 / 0
[32, 34]; [-0.75, -0.7]: 56 / 4
[32, 34]; [-0.7, -0.65]: 1605 / 78
[32, 34]; [-0.65, -0.6]: 3958 / 202
[32, 34]; [-0.6, -0.55]: 4630 / 214
[32, 34]; [-0.55, -0.5]: 4510 / 204
[32, 34]; [-0.5, -0.45]: 4431 / 189
[32, 34]; [-0.45, -0.4]: 4475 / 190
[32, 34]; [-0.4, -0.35]: 4464 / 228
[32, 34]; [-0.35, -0.3]: 4463 / 196
[32, 34]; [-0.3, -0.25]: 4351 / 205
[32, 34]; [-0.25, -0.2]: 4290 / 184
[32, 34]; [-0.2, -0.15]: 4396 / 179
[32, 34]; [-0.15, -0.1]: 4231 / 216
[32, 34]; [-0.1, -0.05]: 4352 / 163
[32, 34]; [-0.05, 0]: 4371 / 194
[32, 34]; [0, 0.05]: 4342 / 201
[32, 34]; [0.05, 0.1]: 4493 / 182
[32, 34]; [0.1, 0.15]: 4348 / 191
[32, 34]; [0.15, 0.2]: 4449 / 200
[32, 34]; [0.2, 0.25]: 4477 / 191
[32, 34]; [0.25, 0.3]: 4348 / 220
[32, 34]; [0.3, 0.35]: 4419 / 204
